smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
N#CC1=C(N)OC2=C(C(=O)CCC2)C1c1ccccc1F,300000.0,284.28999999999996,2.640480000000001,1.0,4.0,0.0,76.11000000000001,1.0,0.0
CC1CC(=O)C2=C(C1)OC(N)=C(C#N)C2c1ccc2c(c1)OCO2,300000.0,324.33600000000007,2.4760800000000005,1.0,6.0,0.0,94.57000000000001,1.0,1.0
N#CC1=C(N)OC2=C(C1)C(=O)CC(c1ccccc1)C2,300000.0,266.3,2.501380000000001,1.0,4.0,0.0,76.11000000000001,1.0,0.0
CC(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,89000.0,215.249,0.4058999999999996,3.0,3.0,0.0,86.63000000000001,4.0,1.0
CC(=O)[C@@]1(N)CC[C@@H]2[C@H](C(=O)O)[C@@H]21,1300.0,183.207,0.013499999999999568,2.0,3.0,0.0,80.39,2.0,1.0
N#CC1=C(N)OC2=C(C(=O)CN(c3ccccc3)C2)C1c1ccccc1,100000.0,343.386,2.8376800000000015,1.0,5.0,0.0,79.35000000000001,2.0,0.0
N#CC1=C(N)OC2=C(C(=O)CN(Cc3ccccc3)C2)C1c1ccccc1,300000.0,357.41300000000007,2.833280000000001,1.0,5.0,0.0,79.35000000000001,3.0,0.0
N#CC1=C(N)OC2=C(C(=O)CN(C(=O)c3ccccc3)C2)C1c1ccccc1,100000.0,371.3960000000001,2.4734800000000003,1.0,5.0,0.0,96.42000000000002,2.0,1.0
C[C@@H](c1ccccc1)N1CC(=O)C2=C(C1)OC(N)=C(C#N)[C@H]2c1ccccc1,300000.0,371.44,3.394280000000001,1.0,5.0,0.0,79.35,3.0,0.0
C[C@@H](c1ccccc1)N1CC(=O)C2=C(C1)OC(N)=C(C#N)[C@@H]2c1ccccc1,300000.0,371.44,3.394280000000001,1.0,5.0,0.0,79.35,3.0,0.0
C[C@H](c1ccccc1)N1CC(=O)C2=C(C1)OC(N)=C(C#N)[C@@H]2c1ccccc1,300000.0,371.44,3.394280000000001,1.0,5.0,0.0,79.35,3.0,0.0
C[C@H](c1ccccc1)N1CC(=O)C2=C(C1)OC(N)=C(C#N)[C@H]2c1ccccc1,300000.0,371.44,3.394280000000001,1.0,5.0,0.0,79.35,3.0,0.0
CCN(CC)c1ccc2c(C3CC(=O)C4=C(C3)OC(N)=C(C#N)C4C)cc(=O)oc2c1,300000.0,419.4810000000001,3.699980000000002,1.0,7.0,0.0,109.55999999999999,4.0,1.0
COc1ccc2c(C3CC(=O)C4=C(C3)OC(N)=C(C#N)C4C)cc(=O)oc2c1,300000.0,378.38400000000007,2.862380000000001,1.0,7.0,0.0,115.55,2.0,1.0
O=C(O)[C@@H]1CCCN[C@H](C(=O)O)C1,300000.0,187.195,-0.08610000000000012,3.0,3.0,0.0,86.63000000000001,2.0,1.0
O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,100000.0,354.35800000000006,2.718400000000001,0.0,6.0,0.0,63.22000000000001,4.0,0.0
N[C@H](C(=O)O)[C@H](OCc1ccccc1)C(=O)Nc1ccc2c(c1)Cc1ccccc1-2,47.0,402.45000000000016,3.193600000000001,3.0,4.0,0.0,101.65,7.0,1.0
CCOC(=O)CN1C(=O)S/C(=C\c2cccc(/C=C/C(=O)O)c2)C1=O,300000.0,361.3750000000001,2.3838,1.0,6.0,0.0,100.97999999999999,6.0,1.0
CCOC(=O)CN1C(=O)S/C(=C\c2cc(CCC(=O)O)ccc2O)C1=O,300000.0,379.3900000000001,2.0088000000000004,2.0,7.0,0.0,121.21000000000001,7.0,1.0
CCOC(=O)CN1C(=O)S/C(=C\c2cccc(CCC(=O)O)c2)C1=O,300000.0,363.3910000000002,2.3032000000000004,1.0,6.0,0.0,100.97999999999999,7.0,1.0
CCOC(=O)CN1C(=O)CN(Cc2ccc(-c3cc(C(=O)O)ccc3Cl)o2)C1=O,300000.0,420.8050000000001,2.6255000000000006,1.0,6.0,0.0,117.36000000000001,7.0,1.0
CCOC(=O)CN1C(=O)S/C(=C\c2ccc(-c3ccccc3)o2)C1=O,300000.0,357.3870000000001,3.546000000000002,0.0,6.0,0.0,76.82,5.0,0.0
CCOC(=O)CN1C(=O)S/C(=C\c2ccc(-c3cc(Cl)ccc3Cl)o2)C1=O,300000.0,426.2770000000002,4.852800000000003,0.0,6.0,0.0,76.82,5.0,1.0
CCOC(=O)CN1C(=O)S/C(=C\c2ccc(-c3ccc(C(=O)O)cc3Cl)o2)C1=O,300000.0,435.8410000000002,3.8976000000000024,1.0,7.0,0.0,114.12,6.0,1.0
CCOC(=O)CN1C(=O)S/C(=C\c2ccc(C)o2)C1=O,300000.0,295.3160000000001,2.1874200000000004,0.0,6.0,0.0,76.82,4.0,0.0
CCOC(=O)CN1C(=O)S/C(=C\c2ccc(N3CCCCC3)o2)C1=O,300000.0,364.4230000000003,2.8693000000000017,0.0,7.0,0.0,80.06,5.0,0.0
CCOC(=O)CN1C(=O)S/C(=C\c2ccc(Sc3ccccc3)o2)C1=O,300000.0,389.4540000000001,4.030200000000003,0.0,7.0,0.0,76.82,6.0,1.0
c1ccc(Cn2nnnc2C(c2cccnc2)N2CCNCC2)cc1,924.0,335.41500000000013,1.1109999999999995,1.0,6.0,0.0,71.76,5.0,1.0
CN1CCN(C(C(=O)NCc2ccccc2)c2cccnc2)CC1,1039.0,324.4280000000001,1.6864999999999999,1.0,4.0,0.0,48.47,5.0,1.0
CN1CCN(C(C(=O)NCCc2ccc(Cl)cc2)c2cccnc2)CC1,344.0,372.9000000000001,2.3824000000000014,1.0,4.0,0.0,48.47,6.0,0.0
