smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
Cn1c(SSCc2ccccc2)c(C(=O)Nc2ccccc2)c2ccccc21,100000.0,404.5600000000002,6.371100000000004,1.0,3.0,1.0,34.03,6.0,1.0
O=S(=O)(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,93.5,409.2650000000001,2.2969,2.0,7.0,0.0,105.07000000000001,5.0,1.0
COc1ccccc1Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,66.0,427.2910000000001,5.054500000000003,1.0,5.0,1.0,69.03999999999999,4.0,1.0
Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)nc23)c1,2.3,425.2940000000002,3.6246,2.0,7.0,0.0,93.44,7.0,1.0
COC(=O)c1cc(/N=C/c2ccc(O)cc2)ccc1O,10000.0,271.272,2.635000000000001,2.0,5.0,0.0,79.12,3.0,0.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCOCC3)nc21,5000.0,448.3540000000004,3.4365000000000014,1.0,6.0,0.0,72.28,6.0,0.0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1450.0,393.4430000000002,3.405100000000002,1.0,7.0,0.0,74.73000000000002,10.0,1.0
CN1C(=S)C(C(=O)Nc2ccccc2)c2cccnc21,100000.0,283.35600000000005,2.581100000000001,1.0,3.0,0.0,45.230000000000004,2.0,0.0
C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.2,383.249,4.650500000000003,2.0,4.0,0.0,66.91,4.0,1.0
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,84.0,343.228,4.201900000000003,1.0,4.0,0.0,41.050000000000004,3.0,1.0
CN(C)c1ccc2ncnc(Nc3cccc(Br)c3)c2n1,9.6,344.216,3.5969000000000015,1.0,5.0,0.0,53.940000000000005,3.0,0.0
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.13,316.16200000000003,3.113100000000001,2.0,5.0,0.0,76.72,2.0,0.0
Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,2500.0,357.4130000000001,4.674240000000003,3.0,4.0,0.0,70.22999999999999,4.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCO)nc21,5000.0,365.22000000000014,2.7065000000000006,2.0,5.0,0.0,80.04,4.0,0.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccnc3)nc21,510.0,398.2530000000001,4.440900000000003,1.0,5.0,0.0,72.7,3.0,1.0
COC(=O)c1cc(NCc2ccc(O)cc2)ccc1O,10000.0,273.28800000000007,2.4965000000000006,3.0,5.0,0.0,78.79,4.0,0.0
